tax_id	scientific_name	sample_accession	secondary_sample_accession	experiment_accession	study_accession	secondary_study_accession	run_accession	center_name	fastq_ftp	fastq_md5
72149	Aichivirus A	SAMEA1710010	ERS155729	ERX207911	PRJEB2822	ERP001119	ERR233406	SC	fastq/ERR233/ERR233406/ERR233406_1.fastq.gz;fastq/ERR233/ERR233406/ERR233406_2.fastq.gz	73f7218a72d74ae25461fac1a379649b;48119dc0a1cfe0a6b192fad2e7f38330
72149	Aichivirus A	SAMEA1710038	ERS155726	ERX207908	PRJEB2822	ERP001119	ERR233403	SC	fastq/ERR233/ERR233403/ERR233403_1.fastq.gz;fastq/ERR233/ERR233403/ERR233403_2.fastq.gz	f0434d50583a0057173ed005bfdbac90;7fb6c73f6f71309b7bb6368e5bc00648
694002	Betacoronavirus	SAMEA1710003	ERS183169	ERX207942	PRJEB2822	ERP001119	ERR233437	SC	fastq/ERR233/ERR233437/ERR233437_1.fastq.gz;fastq/ERR233/ERR233437/ERR233437_2.fastq.gz	621ff231d4a69617592fc66e1fef60cc;c85795486848ed8b7d4e6a7822dd537f
694002	Betacoronavirus	SAMEA1710005	ERS183171	ERX207944	PRJEB2822	ERP001119	ERR233439	SC	fastq/ERR233/ERR233439/ERR233439_1.fastq.gz;fastq/ERR233/ERR233439/ERR233439_2.fastq.gz	580dce2274c3f7dfa174a05273b19c0c;5af87507f438dde3eeb17a928ed71953
694002	Betacoronavirus	SAMEA1710009	ERS179071	ERX207914	PRJEB2822	ERP001119	ERR233409	SC	fastq/ERR233/ERR233409/ERR233409_1.fastq.gz;fastq/ERR233/ERR233409/ERR233409_2.fastq.gz	deb28d3f8d00c30751edd5568710a2bd;7fda039b9438f9dd8c68c163621fd328
694002	Betacoronavirus	SAMEA1710017	ERS183170	ERX207943	PRJEB2822	ERP001119	ERR233438	SC	fastq/ERR233/ERR233438/ERR233438_1.fastq.gz;fastq/ERR233/ERR233438/ERR233438_2.fastq.gz	487be849baf9aac2e7d61e96fdc0af06;010f5157cc4a4e4e83dbf2c4e72dc771
694002	Betacoronavirus	SAMEA1710021	ERS179070	ERX207913	PRJEB2822	ERP001119	ERR233408	SC	fastq/ERR233/ERR233408/ERR233408_1.fastq.gz;fastq/ERR233/ERR233408/ERR233408_2.fastq.gz	7ee20a846b75d40d4945b0270a43e080;63d19a34a10b333b7d0d1c14cd5cc2ec
694002	Betacoronavirus	SAMEA1710030	ERS177709	ERX207915	PRJEB2822	ERP001119	ERR233410	SC	fastq/ERR233/ERR233410/ERR233410_1.fastq.gz;fastq/ERR233/ERR233410/ERR233410_2.fastq.gz	50b86a302355f7fe8ac6318978721000;4ee5c5d177d588f69be367827f28d99e
694002	Betacoronavirus	SAMEA1710039	ERS195613	ERX207945	PRJEB2822	ERP001119	ERR233440	SC	fastq/ERR233/ERR233440/ERR233440_1.fastq.gz;fastq/ERR233/ERR233440/ERR233440_2.fastq.gz	c5884897d3f8ff0aff990a6c72cfdf82;c04b8cb5967dad7e09390eeddd969242
694002	Betacoronavirus	SAMEA1710040	ERS183166	ERX207939	PRJEB2822	ERP001119	ERR233434	SC	fastq/ERR233/ERR233434/ERR233434_1.fastq.gz;fastq/ERR233/ERR233434/ERR233434_2.fastq.gz	3b73eb98d175c06c262f97e9932d3e1f;cd7d8e3231956402280dde6f8d4c628a
694002	Betacoronavirus	SAMEA1710042	ERS184553	ERX207938	PRJEB2822	ERP001119	ERR233433	SC	fastq/ERR233/ERR233433/ERR233433_1.fastq.gz;fastq/ERR233/ERR233433/ERR233433_2.fastq.gz	d55f3a8c43c8ae9db2622cf5a74d3041;9f406c1c6abfcef76627389eb6ececfe
694002	Betacoronavirus	SAMEA1710046	ERS195614	ERX207946	PRJEB2822	ERP001119	ERR233441	SC	fastq/ERR233/ERR233441/ERR233441_1.fastq.gz;fastq/ERR233/ERR233441/ERR233441_2.fastq.gz	4b73b6cc9c36a96e1061b82977a1cd55;9d5c3853f643e1a09fe276d93d608745
694002	Betacoronavirus	SAMEA1710047	ERS183167	ERX207940	PRJEB2822	ERP001119	ERR233435	SC	fastq/ERR233/ERR233435/ERR233435_1.fastq.gz;fastq/ERR233/ERR233435/ERR233435_2.fastq.gz	e565ddaa18f9a315457cf3d34798fa85;d0e0f8ec1973de9cbefffec5d0595802
694002	Betacoronavirus	SAMEA1710053	ERS184554	ERX207937	PRJEB2822	ERP001119	ERR233432	SC	fastq/ERR233/ERR233432/ERR233432_1.fastq.gz;fastq/ERR233/ERR233432/ERR233432_2.fastq.gz	d9c14db995be8dc6aaa0d4c325472772;19b59f4d3fa6fb07411287c7a948d40f
694002	Betacoronavirus	SAMEA1710065	ERS195615	ERX207947	PRJEB2822	ERP001119	ERR233442	SC	fastq/ERR233/ERR233442/ERR233442_1.fastq.gz;fastq/ERR233/ERR233442/ERR233442_2.fastq.gz	24c86d3b814d45baa6d3ad23cf4cd90e;6f87a8c281de78741e5c59456b859d2f
694002	Betacoronavirus	SAMEA1710072	ERS183168	ERX207941	PRJEB2822	ERP001119	ERR233436	SC	fastq/ERR233/ERR233436/ERR233436_1.fastq.gz;fastq/ERR233/ERR233436/ERR233436_2.fastq.gz	f586b9b328fdb02f5a4fe0a031e46608;5bd0fe70b3809d3f746c1781abd24179
694002	Betacoronavirus	SAMEA1710074	ERS177710	ERX207916	PRJEB2822	ERP001119	ERR233411	SC	fastq/ERR233/ERR233411/ERR233411_1.fastq.gz;fastq/ERR233/ERR233411/ERR233411_2.fastq.gz	3edca3290ab1ac0cf0a5bfa7dea6213e;ecf573e62ed3813ba89ce5323f5bdc54
694002	Betacoronavirus	SAMEA2073836	ERS250018	ERX303927	PRJEB2822	ERP001119	ERR330998	SC	fastq/ERR330/ERR330998/ERR330998_1.fastq.gz;fastq/ERR330/ERR330998/ERR330998_2.fastq.gz	10a39b640dcd78db4aebe5f759b5a5d4;89de116646a3505f87d0366997d1a5b9
694002	Betacoronavirus	SAMEA2073837	ERS250019	ERX303928	PRJEB2822	ERP001119	ERR330999	SC	fastq/ERR330/ERR330999/ERR330999_1.fastq.gz;fastq/ERR330/ERR330999/ERR330999_2.fastq.gz	c667f4a5f14823f9629704fe408c7a94;dbf07a9e99db9204dc1e96c22d382391
694002	Betacoronavirus	SAMEA2073838	ERS250020	ERX303929	PRJEB2822	ERP001119	ERR331000	SC	fastq/ERR331/ERR331000/ERR331000_1.fastq.gz;fastq/ERR331/ERR331000/ERR331000_2.fastq.gz	bfeaf7b0a0b4d17e34b7a6822b2ce633;27df565fa4a4486d520a2057894a4110
694002	Betacoronavirus	SAMEA2073839	ERS250021	ERX303930	PRJEB2822	ERP001119	ERR331001	SC	fastq/ERR331/ERR331001/ERR331001_1.fastq.gz;fastq/ERR331/ERR331001/ERR331001_2.fastq.gz	c45e94b451d28e7c2a95626e7909e977;cc49a8ec786152f1d86411bfbbccb65b
694002	Betacoronavirus	SAMEA2073840	ERS250022	ERX303931	PRJEB2822	ERP001119	ERR331002	SC	fastq/ERR331/ERR331002/ERR331002_1.fastq.gz;fastq/ERR331/ERR331002/ERR331002_2.fastq.gz	0e2a0629201ee975d0f06d5bd5caa901;fab4f9ffaccf645b1e47526a4ff5afef
694002	Betacoronavirus	SAMEA2073841	ERS250023	ERX303932	PRJEB2822	ERP001119	ERR331003	SC	fastq/ERR331/ERR331003/ERR331003_1.fastq.gz;fastq/ERR331/ERR331003/ERR331003_2.fastq.gz	8b44c81577d031cea1bb09b6a7bb2bae;5be95976ae8ba967019f10222a2bbbcd
694002	Betacoronavirus	SAMEA2073842	ERS250024	ERX303933	PRJEB2822	ERP001119	ERR331004	SC	fastq/ERR331/ERR331004/ERR331004_1.fastq.gz;fastq/ERR331/ERR331004/ERR331004_2.fastq.gz	569dc9fbcfd3e37b0652b0e56b1ec5a8;6537909dba28998126dc684e8745d3fc
586419	Human cosavirus A	SAMEA1710014	ERS155725	ERX207907	PRJEB2822	ERP001119	ERR233402	SC	fastq/ERR233/ERR233402/ERR233402_1.fastq.gz;fastq/ERR233/ERR233402/ERR233402_2.fastq.gz	406fb5a9e3be2aeeaa32cebca757e657;c10610f702205a92bc526e8d7ca70760
586419	Human cosavirus A	SAMEA1710068	ERS155728	ERX207910	PRJEB2822	ERP001119	ERR233405	SC	fastq/ERR233/ERR233405/ERR233405_1.fastq.gz;fastq/ERR233/ERR233405/ERR233405_2.fastq.gz	a5bc4085c3ba174546155e1a7377aeee;d16de4ee3e3b5b971dbf0466c1b762c5
311179	Mustelid gammaherpesvirus 1	SAMEA1710060	ERS155731	ERX207906	PRJEB2822	ERP001119	ERR233401	SC	fastq/ERR233/ERR233401/ERR233401_1.fastq.gz;fastq/ERR233/ERR233401/ERR233401_2.fastq.gz	38782ed3dc1d0b766f0ee4adfab97ec4;429b504fdb54a73301f91473f7f42695
12814	Respiratory syncytial virus	SAMEA1920284	ERS213643	ERX276600	PRJEB2822	ERP001119	ERR303259	SC	fastq/ERR303/ERR303259/ERR303259_1.fastq.gz;fastq/ERR303/ERR303259/ERR303259_2.fastq.gz	3599179691af419fc042c3ef739f4a57;34bca4f1aefab1457889659bf22ebc41
12814	Respiratory syncytial virus	SAMEA1920285	ERS213644	ERX276601	PRJEB2822	ERP001119	ERR303260	SC	fastq/ERR303/ERR303260/ERR303260_1.fastq.gz;fastq/ERR303/ERR303260/ERR303260_2.fastq.gz	5a16ae507992be40854a30e0015facdc;2ae9b1be9ef0cfab537845ef37b755a9
12814	Respiratory syncytial virus	SAMEA1920286	ERS213646	ERX276603	PRJEB2822	ERP001119	ERR303262	SC	fastq/ERR303/ERR303262/ERR303262_1.fastq.gz;fastq/ERR303/ERR303262/ERR303262_2.fastq.gz	cce7638dc99e0b4f1f9eb17f1c976d5e;d2e9b6a000d08e19b909973b33b128d0
12814	Respiratory syncytial virus	SAMEA1920287	ERS213648	ERX276605	PRJEB2822	ERP001119	ERR303264	SC	fastq/ERR303/ERR303264/ERR303264_1.fastq.gz;fastq/ERR303/ERR303264/ERR303264_2.fastq.gz	fb4ad6b968dba0d7befceb9b256dc741;439241877e9c58953bdc08d6597cb04c
12814	Respiratory syncytial virus	SAMEA1920288	ERS213645	ERX276602	PRJEB2822	ERP001119	ERR303261	SC	fastq/ERR303/ERR303261/ERR303261_1.fastq.gz;fastq/ERR303/ERR303261/ERR303261_2.fastq.gz	55dbab430df92c04112fbad4109e09cd;142e8c57dd9d59dcaf282422f5c38a09
12814	Respiratory syncytial virus	SAMEA1920289	ERS213649	ERX276606	PRJEB2822	ERP001119	ERR303265	SC	fastq/ERR303/ERR303265/ERR303265_1.fastq.gz;fastq/ERR303/ERR303265/ERR303265_2.fastq.gz	92c6afa809e38b4adb8082f0cff7e142;4d1e032aa6f810b5710d5926a03187f7
12814	Respiratory syncytial virus	SAMEA1920290	ERS213647	ERX276604	PRJEB2822	ERP001119	ERR303263	SC	fastq/ERR303/ERR303263/ERR303263_1.fastq.gz;fastq/ERR303/ERR303263/ERR303263_2.fastq.gz	c6280be870aaa7ddee656ea13bb80b35;16836237ea7404d30629ba2e27bccfff
12814	Respiratory syncytial virus	SAMEA1920291	ERS213651	ERX276608	PRJEB2822	ERP001119	ERR303267	SC	fastq/ERR303/ERR303267/ERR303267_1.fastq.gz;fastq/ERR303/ERR303267/ERR303267_2.fastq.gz	d72ec2853550d8e32f0348d35fc4a084;cc09fe9c15032dd1614c53ab8141d1bb
12814	Respiratory syncytial virus	SAMEA1920292	ERS213653	ERX276610	PRJEB2822	ERP001119	ERR303269	SC	fastq/ERR303/ERR303269/ERR303269_1.fastq.gz;fastq/ERR303/ERR303269/ERR303269_2.fastq.gz	60ddfa2af8c69da21006db88c2e88ec8;eec078173f32b6c128bf6143f793c099
12814	Respiratory syncytial virus	SAMEA1920293	ERS213652	ERX276609	PRJEB2822	ERP001119	ERR303268	SC	fastq/ERR303/ERR303268/ERR303268_1.fastq.gz;fastq/ERR303/ERR303268/ERR303268_2.fastq.gz	0ffb4cb11addf54e9e8898a704eef12a;93d1c978394593f6672f2c047f5f3dc2
12814	Respiratory syncytial virus	SAMEA1920294	ERS213650	ERX276607	PRJEB2822	ERP001119	ERR303266	SC	fastq/ERR303/ERR303266/ERR303266_1.fastq.gz;fastq/ERR303/ERR303266/ERR303266_2.fastq.gz	34bb71a155f3cc70788711b101096678;7c3a12fdea5db71bff5c164b61197a8c
12814	Respiratory syncytial virus	SAMEA1920295	ERS213654	ERX276611	PRJEB2822	ERP001119	ERR303270	SC	fastq/ERR303/ERR303270/ERR303270_1.fastq.gz;fastq/ERR303/ERR303270/ERR303270_2.fastq.gz	f61c215579a83eeba059f9d8dbf45dac;a6fb769c21ee0c383bc11dccf6b0dbc5
12814	Respiratory syncytial virus	SAMEA1920296	ERS213655	ERX276612	PRJEB2822	ERP001119	ERR303271	SC	fastq/ERR303/ERR303271/ERR303271_1.fastq.gz;fastq/ERR303/ERR303271/ERR303271_2.fastq.gz	adffadecd98f43609353908a00a0dae1;63a807bc5a916d75639cbef7741d80fb
12814	Respiratory syncytial virus	SAMEA1920297	ERS213656	ERX276613	PRJEB2822	ERP001119	ERR303272	SC	fastq/ERR303/ERR303272/ERR303272_1.fastq.gz;fastq/ERR303/ERR303272/ERR303272_2.fastq.gz	80672c5180ba5632a4ec6d50a1f53b16;83775cf9c7ef6e8c1c0861bd207f5220
12814	Respiratory syncytial virus	SAMEA1920298	ERS213657	ERX276614	PRJEB2822	ERP001119	ERR303273	SC	fastq/ERR303/ERR303273/ERR303273_1.fastq.gz;fastq/ERR303/ERR303273/ERR303273_2.fastq.gz	71bdeb205ce5db8b275ea4a84e4c8543;0d07d2a05688bf7553a466c459accd68
12814	Respiratory syncytial virus	SAMEA1920299	ERS213658	ERX276615	PRJEB2822	ERP001119	ERR303274	SC	fastq/ERR303/ERR303274/ERR303274_1.fastq.gz;fastq/ERR303/ERR303274/ERR303274_2.fastq.gz	e0d437d3f019f9995e0a8b520bbba34a;21f0bcd55ec744df9fc4f66f9c3a910f
12814	Respiratory syncytial virus	SAMEA1920300	ERS213659	ERX276616	PRJEB2822	ERP001119	ERR303275	SC	fastq/ERR303/ERR303275/ERR303275_1.fastq.gz;fastq/ERR303/ERR303275/ERR303275_2.fastq.gz	a1e883ce16b4f3b3116789e17aaf8ba1;d51fd26aa27fc970c44397b32b8265d2
12814	Respiratory syncytial virus	SAMEA1920301	ERS213660	ERX276617	PRJEB2822	ERP001119	ERR303276	SC	fastq/ERR303/ERR303276/ERR303276_1.fastq.gz;fastq/ERR303/ERR303276/ERR303276_2.fastq.gz	29d8155db8406a5b3b86b5cc69caa702;6d3035b079186b6e96787b0c2be2177b
12814	Respiratory syncytial virus	SAMEA1920302	ERS213661	ERX276618	PRJEB2822	ERP001119	ERR303277	SC	fastq/ERR303/ERR303277/ERR303277_1.fastq.gz;fastq/ERR303/ERR303277/ERR303277_2.fastq.gz	e2ed3670c4fa0e67b7528b91e40d0ed4;8548ab90a64b57de4eda1e6eb0840a37
12814	Respiratory syncytial virus	SAMEA1920303	ERS213662	ERX276619	PRJEB2822	ERP001119	ERR303278	SC	fastq/ERR303/ERR303278/ERR303278_1.fastq.gz;fastq/ERR303/ERR303278/ERR303278_2.fastq.gz	d2fcdae161e4b10f4ef7b574645b865e;9bbaa561164c52e5480938ebb19e17e1
12814	Respiratory syncytial virus	SAMEA1920304	ERS213663	ERX276620	PRJEB2822	ERP001119	ERR303279	SC	fastq/ERR303/ERR303279/ERR303279_1.fastq.gz;fastq/ERR303/ERR303279/ERR303279_2.fastq.gz	a9d26b5010e001d32bb95edb9e8c2fcf;bd7b66b7e1fef1811cca89e1f8fe510f
12814	Respiratory syncytial virus	SAMEA1920305	ERS213664	ERX276621	PRJEB2822	ERP001119	ERR303280	SC	fastq/ERR303/ERR303280/ERR303280_1.fastq.gz;fastq/ERR303/ERR303280/ERR303280_2.fastq.gz	256e2d66181bbbb3d3eec5e20bad12f5;be2d54fd9008f346cb4ec51803cc2948
12814	Respiratory syncytial virus	SAMEA1920306	ERS213665	ERX276622	PRJEB2822	ERP001119	ERR303281	SC	fastq/ERR303/ERR303281/ERR303281_1.fastq.gz;fastq/ERR303/ERR303281/ERR303281_2.fastq.gz	39bf9c081b1dac40b4a684090f491d13;b6804b2ee06fb49f2d8d17eaa4d9e422
12814	Respiratory syncytial virus	SAMEA1920307	ERS213667	ERX276624	PRJEB2822	ERP001119	ERR303283	SC	fastq/ERR303/ERR303283/ERR303283_1.fastq.gz;fastq/ERR303/ERR303283/ERR303283_2.fastq.gz	e8c5692f5dfd7fe9849abece5ce8b25b;386f9428fad2a7be018334e801b5dc49
12814	Respiratory syncytial virus	SAMEA1920308	ERS213669	ERX276626	PRJEB2822	ERP001119	ERR303285	SC	fastq/ERR303/ERR303285/ERR303285_1.fastq.gz;fastq/ERR303/ERR303285/ERR303285_2.fastq.gz	c72ee3ca990c064f1fb760161ff75326;f2c730193b6e1d9c7acc888d39eb16c8
12814	Respiratory syncytial virus	SAMEA1920309	ERS213668	ERX276625	PRJEB2822	ERP001119	ERR303284	SC	fastq/ERR303/ERR303284/ERR303284_1.fastq.gz;fastq/ERR303/ERR303284/ERR303284_2.fastq.gz	58b8e82d6809566d389319da833446b4;9dcbbf0a4ceca95e6f4c8cde8037cdbb
12814	Respiratory syncytial virus	SAMEA1920310	ERS213666	ERX276623	PRJEB2822	ERP001119	ERR303282	SC	fastq/ERR303/ERR303282/ERR303282_1.fastq.gz;fastq/ERR303/ERR303282/ERR303282_2.fastq.gz	6e660c5fba45e91fe631bfc93a6ce8ef;61953c40831fe15e644fa4ac1858717c
12814	Respiratory syncytial virus	SAMEA1920311	ERS213670	ERX276627	PRJEB2822	ERP001119	ERR303286	SC	fastq/ERR303/ERR303286/ERR303286_1.fastq.gz;fastq/ERR303/ERR303286/ERR303286_2.fastq.gz	f7a4ac24a0b9c5e9dc9c1887cb7c927d;8719e6b251eba1d25c90e8d87040de39
12814	Respiratory syncytial virus	SAMEA1920312	ERS213671	ERX276628	PRJEB2822	ERP001119	ERR303287	SC	fastq/ERR303/ERR303287/ERR303287_1.fastq.gz;fastq/ERR303/ERR303287/ERR303287_2.fastq.gz	9296548a51a984ae6f7034a9be4b0019;2fa07678b943c43c511175be40e70503
12814	Respiratory syncytial virus	SAMEA1920313	ERS213673	ERX276630	PRJEB2822	ERP001119	ERR303289	SC	fastq/ERR303/ERR303289/ERR303289_1.fastq.gz;fastq/ERR303/ERR303289/ERR303289_2.fastq.gz	c5b8e224dcc7be11957de1124d05b920;ace8d20857b7971fc4060d3ac89b23c2
12814	Respiratory syncytial virus	SAMEA1920314	ERS213672	ERX276629	PRJEB2822	ERP001119	ERR303288	SC	fastq/ERR303/ERR303288/ERR303288_1.fastq.gz;fastq/ERR303/ERR303288/ERR303288_2.fastq.gz	bd1c2b7a415e9b79b62b69313ca78fe4;acc6880f03b479b467b8feb28d40c893
12814	Respiratory syncytial virus	SAMEA1920315	ERS213674	ERX276631	PRJEB2822	ERP001119	ERR303290	SC	fastq/ERR303/ERR303290/ERR303290_1.fastq.gz;fastq/ERR303/ERR303290/ERR303290_2.fastq.gz	3f0409612e7b10d1033d154c080abdc4;3d3fd16b7845343be6623e7e29765dca
28901	Salmonella enterica	SAMEA3934645	ERS1121779	ERX1434778	PRJEB13610	ERP015171	ERR1363508	DTU	fastq/ERR136/008/ERR1363508/ERR1363508_1.fastq.gz;fastq/ERR136/008/ERR1363508/ERR1363508_2.fastq.gz	c743396da87df50bec8467d1e34bf95f;085d497216ab50cfafabf7d86294367c
28901	Salmonella enterica	SAMEA3934646	ERS1121780	ERX1434779	PRJEB13610	ERP015171	ERR1363509	DTU	fastq/ERR136/009/ERR1363509/ERR1363509_1.fastq.gz;fastq/ERR136/009/ERR1363509/ERR1363509_2.fastq.gz	f92357668560f753f4c97ad2ecc84cec;3daa3e5d170683f830a591837be82b36
28901	Salmonella enterica	SAMEA3934647	ERS1121781	ERX1434780	PRJEB13610	ERP015171	ERR1363510	DTU	fastq/ERR136/000/ERR1363510/ERR1363510_1.fastq.gz;fastq/ERR136/000/ERR1363510/ERR1363510_2.fastq.gz	bfe41e6524afae521d6ecf5cf3192e84;94eba18056f8ddabc1d22a8c0662133b
28901	Salmonella enterica	SAMEA3934648	ERS1121782	ERX1434781	PRJEB13610	ERP015171	ERR1363511	DTU	fastq/ERR136/001/ERR1363511/ERR1363511_1.fastq.gz;fastq/ERR136/001/ERR1363511/ERR1363511_2.fastq.gz	73c8b0a7890163a69a446bbe1e7c7d13;b7fd6ccc041ff381196679386d61f0b8
28901	Salmonella enterica	SAMEA3934649	ERS1121783	ERX1434782	PRJEB13610	ERP015171	ERR1363512	DTU	fastq/ERR136/002/ERR1363512/ERR1363512_1.fastq.gz;fastq/ERR136/002/ERR1363512/ERR1363512_2.fastq.gz	27f655d7999f779e4797ea98cf79fde3;dd70d037ddfb0f68306ce45b6527c256
28901	Salmonella enterica	SAMEA3934650	ERS1121784	ERX1434783	PRJEB13610	ERP015171	ERR1363513	DTU	fastq/ERR136/003/ERR1363513/ERR1363513_1.fastq.gz;fastq/ERR136/003/ERR1363513/ERR1363513_2.fastq.gz	7288279977341d54b6b772104058de1d;0c938e86aa3be1538fc2b767d4f1a775
28901	Salmonella enterica	SAMEA3934651	ERS1121785	ERX1434784	PRJEB13610	ERP015171	ERR1363514	DTU	fastq/ERR136/004/ERR1363514/ERR1363514_1.fastq.gz;fastq/ERR136/004/ERR1363514/ERR1363514_2.fastq.gz	09739562672c270cf9c6076e64f82826;deaf6c72fbe50b20e9c867c14cd4728d
28901	Salmonella enterica	SAMEA3934652	ERS1121786	ERX1434785	PRJEB13610	ERP015171	ERR1363515	DTU	fastq/ERR136/005/ERR1363515/ERR1363515_1.fastq.gz;fastq/ERR136/005/ERR1363515/ERR1363515_2.fastq.gz	f08568620a6bfea49bd6d537273c1465;a0cb86999ece3f2b9617d028e2969cea
28901	Salmonella enterica	SAMEA3934653	ERS1121787	ERX1434786	PRJEB13610	ERP015171	ERR1363516	DTU	fastq/ERR136/006/ERR1363516/ERR1363516_1.fastq.gz;fastq/ERR136/006/ERR1363516/ERR1363516_2.fastq.gz	6b392764b9569be30dd92c11b057700a;bc9f46458f45fbbb1e5ea5ffa82bdb15
28901	Salmonella enterica	SAMEA3934654	ERS1121788	ERX1434787	PRJEB13610	ERP015171	ERR1363517	DTU	fastq/ERR136/007/ERR1363517/ERR1363517_1.fastq.gz;fastq/ERR136/007/ERR1363517/ERR1363517_2.fastq.gz	dfe1b926be853933a3544e71e8d9aaef;9e5f2717b85f24f643bdb0c4fd72fd9a
28901	Salmonella enterica	SAMEA3934655	ERS1121789	ERX1434788	PRJEB13610	ERP015171	ERR1363518	DTU	fastq/ERR136/008/ERR1363518/ERR1363518_1.fastq.gz;fastq/ERR136/008/ERR1363518/ERR1363518_2.fastq.gz	31d9497b7900289c99872ff57fdc4412;5a574e4933b40398805dbb76033e4dd5
28901	Salmonella enterica	SAMEA3934656	ERS1121790	ERX1434789	PRJEB13610	ERP015171	ERR1363519	DTU	fastq/ERR136/009/ERR1363519/ERR1363519_1.fastq.gz;fastq/ERR136/009/ERR1363519/ERR1363519_2.fastq.gz	a410e8c9817b9230a3f53a6e88747e3d;78a2130bce07a7cdd8d4f8d88feaefd1
28901	Salmonella enterica	SAMEA3934657	ERS1121791	ERX1434790	PRJEB13610	ERP015171	ERR1363520	DTU	fastq/ERR136/000/ERR1363520/ERR1363520_1.fastq.gz;fastq/ERR136/000/ERR1363520/ERR1363520_2.fastq.gz	191b81090e2156cbbbcc38e513192a6e;0abe41d1c5b5ccc779f7060bbad12c27
28901	Salmonella enterica	SAMEA3934658	ERS1121792	ERX1434791	PRJEB13610	ERP015171	ERR1363521	DTU	fastq/ERR136/001/ERR1363521/ERR1363521_1.fastq.gz;fastq/ERR136/001/ERR1363521/ERR1363521_2.fastq.gz	0be017e0dfb90774a4c2fb3e338df90e;6f9625344a9b7d18f2654baed9574a0b
28901	Salmonella enterica	SAMEA3934659	ERS1121793	ERX1434792	PRJEB13610	ERP015171	ERR1363522	DTU	fastq/ERR136/002/ERR1363522/ERR1363522_1.fastq.gz;fastq/ERR136/002/ERR1363522/ERR1363522_2.fastq.gz	8ba42fe95fd83e243db6b80c12c4f43a;38273df6bc47b544f71aa640e4c9443a
28901	Salmonella enterica	SAMEA3934660	ERS1121794	ERX1434793	PRJEB13610	ERP015171	ERR1363523	DTU	fastq/ERR136/003/ERR1363523/ERR1363523_1.fastq.gz;fastq/ERR136/003/ERR1363523/ERR1363523_2.fastq.gz	dcd3308277f37362fdcae3acf78a2848;89d9bc0bb083e02e4f530a982cd626bf
28901	Salmonella enterica	SAMEA3934661	ERS1121795	ERX1434794	PRJEB13610	ERP015171	ERR1363524	DTU	fastq/ERR136/004/ERR1363524/ERR1363524_1.fastq.gz;fastq/ERR136/004/ERR1363524/ERR1363524_2.fastq.gz	7a6247d601335bda34097c5ad8cb0ea9;5d201c57dbb4c5ade2efc7ecb46e9e3b
28901	Salmonella enterica	SAMEA3934662	ERS1121796	ERX1434795	PRJEB13610	ERP015171	ERR1363525	DTU	fastq/ERR136/005/ERR1363525/ERR1363525_1.fastq.gz;fastq/ERR136/005/ERR1363525/ERR1363525_2.fastq.gz	92e68681ba33adfdcdf2b137b7b6a481;7a1b7aa591e7e1726f6f0f47a747400a
28901	Salmonella enterica	SAMEA3934663	ERS1121797	ERX1434796	PRJEB13610	ERP015171	ERR1363526	DTU	fastq/ERR136/006/ERR1363526/ERR1363526_1.fastq.gz;fastq/ERR136/006/ERR1363526/ERR1363526_2.fastq.gz	391c34537973444eb6f6106b9edca999;c836054b2a6bded991b6133e49bd2281
28901	Salmonella enterica	SAMEA3934664	ERS1121798	ERX1434797	PRJEB13610	ERP015171	ERR1363527	DTU	fastq/ERR136/007/ERR1363527/ERR1363527_1.fastq.gz;fastq/ERR136/007/ERR1363527/ERR1363527_2.fastq.gz	c8904c497904b250e6e6ec4eeaddd0cf;16c6cdf32bc6ea15bb45af64eb1eeacc
28901	Salmonella enterica	SAMEA3934665	ERS1121799	ERX1434798	PRJEB13610	ERP015171	ERR1363528	DTU	fastq/ERR136/008/ERR1363528/ERR1363528_1.fastq.gz;fastq/ERR136/008/ERR1363528/ERR1363528_2.fastq.gz	8e7e894fc055f97c0eff271e6dd1780a;42362826d946a92d76109fdd38dd1f04
28901	Salmonella enterica	SAMEA3934666	ERS1121800	ERX1434799	PRJEB13610	ERP015171	ERR1363529	DTU	fastq/ERR136/009/ERR1363529/ERR1363529_1.fastq.gz;fastq/ERR136/009/ERR1363529/ERR1363529_2.fastq.gz	2aa893f04f1ef8b7cae0251c36146f4f;9b37659223a845d0814810d1ba265888
28901	Salmonella enterica	SAMEA3934667	ERS1121801	ERX1434800	PRJEB13610	ERP015171	ERR1363530	DTU	fastq/ERR136/000/ERR1363530/ERR1363530_1.fastq.gz;fastq/ERR136/000/ERR1363530/ERR1363530_2.fastq.gz	a308a03c632f6933190a00852f0f3195;c507141c7da7083f278bdfcaf68ce00d
28901	Salmonella enterica	SAMEA3934668	ERS1121802	ERX1434801	PRJEB13610	ERP015171	ERR1363531	DTU	fastq/ERR136/001/ERR1363531/ERR1363531_1.fastq.gz;fastq/ERR136/001/ERR1363531/ERR1363531_2.fastq.gz	447eb65a040c02ec7b6f86af56dde794;d0c23a28e0c61577ba9a9ecf953a10b7
28901	Salmonella enterica	SAMEA3934669	ERS1121803	ERX1434802	PRJEB13610	ERP015171	ERR1363532	DTU	fastq/ERR136/002/ERR1363532/ERR1363532_1.fastq.gz;fastq/ERR136/002/ERR1363532/ERR1363532_2.fastq.gz	ba19f07d2a05de97b2c444e620d530fa;9e455827d204b12b49ea10fb3b41d250
